p (Variables),Noise Type,Variance Type,SHD
4,Uniform,Different,3
4,Uniform,Different,2
4,Uniform,Different,3
4,Uniform,Different,1
4,Uniform,Different,7
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,1
4,Uniform,Different,3
4,Uniform,Different,4
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,1
4,Uniform,Different,1
4,Uniform,Different,2
4,Uniform,Different,1
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,4
4,Uniform,Different,3
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,5
4,Uniform,Different,1
4,Uniform,Different,3
4,Uniform,Different,1
4,Uniform,Different,2
4,Uniform,Different,1
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,3
4,Uniform,Different,5
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,1
4,Uniform,Different,3
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,5
4,Uniform,Different,4
4,Uniform,Different,5
4,Uniform,Different,0
4,Uniform,Different,1
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,1
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,3
4,Uniform,Different,5
4,Uniform,Different,1
4,Uniform,Different,3
4,Uniform,Different,3
4,Uniform,Different,2
4,Uniform,Different,3
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,3
4,Uniform,Different,0
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,4
4,Uniform,Different,4
4,Uniform,Different,4
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,3
4,Uniform,Different,1
4,Uniform,Different,4
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,2
4,Uniform,Different,1
4,Uniform,Different,3
4,Uniform,Different,5
4,Gaussian,Different,4
4,Gaussian,Different,8
4,Gaussian,Different,6
4,Gaussian,Different,5
4,Gaussian,Different,5
4,Gaussian,Different,4
4,Gaussian,Different,7
4,Gaussian,Different,5
4,Gaussian,Different,5
4,Gaussian,Different,6
4,Gaussian,Different,3
4,Gaussian,Different,4
4,Gaussian,Different,4
4,Gaussian,Different,8
4,Gaussian,Different,7
4,Gaussian,Different,7
4,Gaussian,Different,3
4,Gaussian,Different,5
4,Gaussian,Different,4
4,Gaussian,Different,4
4,Gaussian,Different,5
4,Gaussian,Different,5
4,Gaussian,Different,4
4,Gaussian,Different,4
4,Gaussian,Different,4
4,Gaussian,Different,6
4,Gaussian,Different,6
4,Gaussian,Different,3
4,Gaussian,Different,7
4,Gaussian,Different,6
4,Gaussian,Different,5
4,Gaussian,Different,6
4,Gaussian,Different,7
4,Gaussian,Different,6
4,Gaussian,Different,4
4,Gaussian,Different,7
4,Gaussian,Different,2
4,Gaussian,Different,4
4,Gaussian,Different,5
4,Gaussian,Different,1
4,Gaussian,Different,5
4,Gaussian,Different,1
4,Gaussian,Different,4
4,Gaussian,Different,5
4,Gaussian,Different,7
4,Gaussian,Different,6
4,Gaussian,Different,3
4,Gaussian,Different,5
4,Gaussian,Different,8
4,Gaussian,Different,4
4,Gaussian,Different,7
4,Gaussian,Different,3
4,Gaussian,Different,6
4,Gaussian,Different,4
4,Gaussian,Different,3
4,Gaussian,Different,4
4,Gaussian,Different,5
4,Gaussian,Different,6
4,Gaussian,Different,3
4,Gaussian,Different,4
4,Gaussian,Different,6
4,Gaussian,Different,6
4,Gaussian,Different,4
4,Gaussian,Different,5
4,Gaussian,Different,4
4,Gaussian,Different,2
4,Gaussian,Different,7
4,Gaussian,Different,5
4,Gaussian,Different,5
4,Gaussian,Different,3
4,Gaussian,Different,5
4,Gaussian,Different,6
4,Gaussian,Different,5
4,Gaussian,Different,6
4,Gaussian,Different,2
4,Gaussian,Different,6
4,Gaussian,Different,4
4,Gaussian,Different,7
4,Gaussian,Different,6
4,Gaussian,Different,6
4,Gaussian,Different,6
4,Gaussian,Different,4
4,Gaussian,Different,4
4,Gaussian,Different,5
4,Gaussian,Different,6
4,Gaussian,Different,4
4,Gaussian,Different,4
4,Gaussian,Different,6
4,Gaussian,Different,4
4,Gaussian,Different,2
4,Gaussian,Different,4
4,Gaussian,Different,5
4,Gaussian,Different,3
4,Gaussian,Different,4
4,Gaussian,Different,6
4,Gaussian,Different,4
4,Gaussian,Different,6
4,Gaussian,Different,5
4,Gaussian,Different,3
4,Gaussian,Different,5
5,Uniform,Fixed,7
5,Uniform,Fixed,7
5,Uniform,Fixed,5
5,Uniform,Fixed,3
5,Uniform,Fixed,4
5,Uniform,Fixed,6
5,Uniform,Fixed,5
5,Uniform,Fixed,6
5,Uniform,Fixed,3
5,Uniform,Fixed,9
5,Uniform,Fixed,5
5,Uniform,Fixed,6
5,Uniform,Fixed,7
5,Uniform,Fixed,4
5,Uniform,Fixed,7
5,Uniform,Fixed,6
5,Uniform,Fixed,5
5,Uniform,Fixed,4
5,Uniform,Fixed,7
5,Uniform,Fixed,4
5,Uniform,Fixed,5
5,Uniform,Fixed,7
5,Uniform,Fixed,8
5,Uniform,Fixed,7
5,Uniform,Fixed,6
5,Uniform,Fixed,4
5,Uniform,Fixed,6
5,Uniform,Fixed,3
5,Uniform,Fixed,7
5,Uniform,Fixed,6
5,Uniform,Fixed,4
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,7
5,Uniform,Fixed,9
5,Uniform,Fixed,2
5,Uniform,Fixed,3
5,Uniform,Fixed,4
5,Uniform,Fixed,6
5,Uniform,Fixed,7
5,Uniform,Fixed,5
5,Uniform,Fixed,4
5,Uniform,Fixed,7
5,Uniform,Fixed,6
5,Uniform,Fixed,5
5,Uniform,Fixed,3
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,7
5,Uniform,Fixed,3
5,Uniform,Fixed,3
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,6
5,Uniform,Fixed,5
5,Uniform,Fixed,4
5,Uniform,Fixed,3
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,6
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,6
5,Uniform,Fixed,8
5,Uniform,Fixed,6
5,Uniform,Fixed,8
5,Uniform,Fixed,3
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,9
5,Uniform,Fixed,7
5,Uniform,Fixed,8
5,Uniform,Fixed,6
5,Uniform,Fixed,5
5,Uniform,Fixed,4
5,Uniform,Fixed,3
5,Uniform,Fixed,5
5,Uniform,Fixed,4
5,Uniform,Fixed,6
5,Uniform,Fixed,5
5,Uniform,Fixed,4
5,Uniform,Fixed,4
5,Uniform,Fixed,4
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,2
5,Uniform,Fixed,7
5,Uniform,Fixed,2
5,Uniform,Fixed,9
5,Uniform,Fixed,8
5,Uniform,Fixed,6
5,Uniform,Fixed,6
5,Uniform,Fixed,5
5,Uniform,Fixed,5
5,Uniform,Fixed,7
5,Uniform,Fixed,3
5,Uniform,Fixed,6
5,Gaussian,Fixed,5
5,Gaussian,Fixed,7
5,Gaussian,Fixed,4
5,Gaussian,Fixed,9
5,Gaussian,Fixed,6
5,Gaussian,Fixed,6
5,Gaussian,Fixed,9
5,Gaussian,Fixed,6
5,Gaussian,Fixed,3
5,Gaussian,Fixed,7
5,Gaussian,Fixed,7
5,Gaussian,Fixed,4
5,Gaussian,Fixed,7
5,Gaussian,Fixed,6
5,Gaussian,Fixed,7
5,Gaussian,Fixed,4
5,Gaussian,Fixed,7
5,Gaussian,Fixed,10
5,Gaussian,Fixed,7
5,Gaussian,Fixed,8
5,Gaussian,Fixed,5
5,Gaussian,Fixed,10
5,Gaussian,Fixed,8
5,Gaussian,Fixed,7
5,Gaussian,Fixed,6
5,Gaussian,Fixed,4
5,Gaussian,Fixed,6
5,Gaussian,Fixed,7
5,Gaussian,Fixed,7
5,Gaussian,Fixed,8
5,Gaussian,Fixed,6
5,Gaussian,Fixed,5
5,Gaussian,Fixed,3
5,Gaussian,Fixed,9
5,Gaussian,Fixed,7
5,Gaussian,Fixed,6
5,Gaussian,Fixed,3
5,Gaussian,Fixed,9
5,Gaussian,Fixed,6
5,Gaussian,Fixed,7
5,Gaussian,Fixed,11
5,Gaussian,Fixed,9
5,Gaussian,Fixed,7
5,Gaussian,Fixed,4
5,Gaussian,Fixed,7
5,Gaussian,Fixed,5
5,Gaussian,Fixed,7
5,Gaussian,Fixed,7
5,Gaussian,Fixed,7
5,Gaussian,Fixed,3
5,Gaussian,Fixed,6
5,Gaussian,Fixed,5
5,Gaussian,Fixed,5
5,Gaussian,Fixed,6
5,Gaussian,Fixed,7
5,Gaussian,Fixed,5
5,Gaussian,Fixed,5
5,Gaussian,Fixed,9
5,Gaussian,Fixed,7
5,Gaussian,Fixed,7
5,Gaussian,Fixed,5
5,Gaussian,Fixed,5
5,Gaussian,Fixed,7
5,Gaussian,Fixed,6
5,Gaussian,Fixed,6
5,Gaussian,Fixed,8
5,Gaussian,Fixed,10
5,Gaussian,Fixed,3
5,Gaussian,Fixed,7
5,Gaussian,Fixed,7
5,Gaussian,Fixed,5
5,Gaussian,Fixed,9
5,Gaussian,Fixed,7
5,Gaussian,Fixed,8
5,Gaussian,Fixed,8
5,Gaussian,Fixed,9
5,Gaussian,Fixed,8
5,Gaussian,Fixed,5
5,Gaussian,Fixed,7
5,Gaussian,Fixed,6
5,Gaussian,Fixed,8
5,Gaussian,Fixed,7
5,Gaussian,Fixed,2
5,Gaussian,Fixed,4
5,Gaussian,Fixed,8
5,Gaussian,Fixed,5
5,Gaussian,Fixed,5
5,Gaussian,Fixed,9
5,Gaussian,Fixed,4
5,Gaussian,Fixed,7
5,Gaussian,Fixed,2
5,Gaussian,Fixed,9
5,Gaussian,Fixed,8
5,Gaussian,Fixed,6
5,Gaussian,Fixed,6
5,Gaussian,Fixed,5
5,Gaussian,Fixed,9
5,Gaussian,Fixed,9
5,Gaussian,Fixed,5
5,Gaussian,Fixed,4
5,Uniform,Different,4
5,Uniform,Different,3
5,Uniform,Different,3
5,Uniform,Different,5
5,Uniform,Different,2
5,Uniform,Different,5
5,Uniform,Different,4
5,Uniform,Different,5
5,Uniform,Different,4
5,Uniform,Different,5
5,Uniform,Different,7
5,Uniform,Different,9
5,Uniform,Different,6
5,Uniform,Different,5
5,Uniform,Different,2
5,Uniform,Different,4
5,Uniform,Different,6
5,Uniform,Different,5
5,Uniform,Different,4
5,Uniform,Different,4
5,Uniform,Different,3
5,Uniform,Different,7
5,Uniform,Different,5
5,Uniform,Different,4
5,Uniform,Different,4
5,Uniform,Different,1
5,Uniform,Different,5
5,Uniform,Different,4
5,Uniform,Different,8
5,Uniform,Different,6
5,Uniform,Different,4
5,Uniform,Different,3
5,Uniform,Different,6
5,Uniform,Different,8
5,Uniform,Different,6
5,Uniform,Different,1
5,Uniform,Different,8
5,Uniform,Different,4
5,Uniform,Different,8
5,Uniform,Different,6
5,Uniform,Different,5
5,Uniform,Different,6
5,Uniform,Different,6
5,Uniform,Different,8
5,Uniform,Different,6
5,Uniform,Different,6
5,Uniform,Different,6
5,Uniform,Different,7
5,Uniform,Different,6
5,Uniform,Different,5
5,Uniform,Different,1
5,Uniform,Different,5
5,Uniform,Different,8
5,Uniform,Different,10
5,Uniform,Different,9
5,Uniform,Different,5
5,Uniform,Different,6
5,Uniform,Different,2
5,Uniform,Different,6
5,Uniform,Different,4
5,Uniform,Different,6
5,Uniform,Different,7
5,Uniform,Different,6
5,Uniform,Different,9
5,Uniform,Different,5
5,Uniform,Different,5
5,Uniform,Different,3
5,Uniform,Different,6
5,Uniform,Different,7
5,Uniform,Different,7
5,Uniform,Different,4
5,Uniform,Different,4
5,Uniform,Different,6
5,Uniform,Different,3
5,Uniform,Different,9
5,Uniform,Different,6
5,Uniform,Different,6
5,Uniform,Different,8
5,Uniform,Different,7
5,Uniform,Different,5
5,Uniform,Different,6
5,Uniform,Different,4
5,Uniform,Different,4
5,Uniform,Different,9
5,Uniform,Different,7
5,Uniform,Different,4
5,Uniform,Different,4
5,Uniform,Different,9
5,Uniform,Different,2
5,Uniform,Different,7
5,Uniform,Different,5
5,Uniform,Different,5
5,Uniform,Different,4
5,Uniform,Different,11
5,Uniform,Different,5
5,Uniform,Different,6
5,Uniform,Different,5
5,Uniform,Different,4
5,Uniform,Different,8
5,Uniform,Different,4
5,Gaussian,Different,6
5,Gaussian,Different,5
5,Gaussian,Different,11
5,Gaussian,Different,5
5,Gaussian,Different,6
5,Gaussian,Different,9
5,Gaussian,Different,6
5,Gaussian,Different,9
5,Gaussian,Different,6
5,Gaussian,Different,9
5,Gaussian,Different,9
5,Gaussian,Different,11
5,Gaussian,Different,8
5,Gaussian,Different,5
5,Gaussian,Different,8
5,Gaussian,Different,6
5,Gaussian,Different,10
5,Gaussian,Different,7
5,Gaussian,Different,8
5,Gaussian,Different,6
5,Gaussian,Different,9
5,Gaussian,Different,9
5,Gaussian,Different,9
5,Gaussian,Different,4
5,Gaussian,Different,6
5,Gaussian,Different,5
5,Gaussian,Different,9
5,Gaussian,Different,8
5,Gaussian,Different,6
5,Gaussian,Different,12
5,Gaussian,Different,6
5,Gaussian,Different,7
5,Gaussian,Different,7
5,Gaussian,Different,6
5,Gaussian,Different,8
5,Gaussian,Different,5
5,Gaussian,Different,8
5,Gaussian,Different,8
5,Gaussian,Different,8
5,Gaussian,Different,6
5,Gaussian,Different,11
5,Gaussian,Different,6
5,Gaussian,Different,8
5,Gaussian,Different,6
5,Gaussian,Different,8
5,Gaussian,Different,8
5,Gaussian,Different,7
5,Gaussian,Different,9
5,Gaussian,Different,10
5,Gaussian,Different,8
5,Gaussian,Different,1
5,Gaussian,Different,9
5,Gaussian,Different,6
5,Gaussian,Different,10
5,Gaussian,Different,7
5,Gaussian,Different,5
5,Gaussian,Different,8
5,Gaussian,Different,8
5,Gaussian,Different,8
5,Gaussian,Different,10
5,Gaussian,Different,8
5,Gaussian,Different,9
5,Gaussian,Different,8
5,Gaussian,Different,9
5,Gaussian,Different,9
5,Gaussian,Different,5
5,Gaussian,Different,9
5,Gaussian,Different,9
5,Gaussian,Different,9
5,Gaussian,Different,11
5,Gaussian,Different,4
5,Gaussian,Different,10
5,Gaussian,Different,8
5,Gaussian,Different,9
5,Gaussian,Different,11
5,Gaussian,Different,8
5,Gaussian,Different,10
5,Gaussian,Different,6
5,Gaussian,Different,11
5,Gaussian,Different,9
5,Gaussian,Different,8
5,Gaussian,Different,8
5,Gaussian,Different,4
5,Gaussian,Different,9
5,Gaussian,Different,9
5,Gaussian,Different,8
5,Gaussian,Different,6
5,Gaussian,Different,9
5,Gaussian,Different,9
5,Gaussian,Different,7
5,Gaussian,Different,10
5,Gaussian,Different,5
5,Gaussian,Different,8
5,Gaussian,Different,9
5,Gaussian,Different,7
5,Gaussian,Different,6
5,Gaussian,Different,9
5,Gaussian,Different,8
5,Gaussian,Different,10
5,Gaussian,Different,4
